" GOSIER"
"BLOIS LAPLACE"
"Bobigny"
"BOLLENE"
"Bondy"
"BORDEAUX BASTIDE"
"BORDEAUX MERIADECK"
"BORDEAUX NORD"
"BORDEAUX SAINT JEAN"
"BOUCAU"
"BOUILLANTE"
"Boulogne-Billancourt"
"BOULOGNE-SUR-MER"
"BOURG EN BRESSE"
"BOURGES BAUDENS"
"BOURGES PROSPECTIVE"
"BOURGOGNE-FRANCHE-COMTE"
"BOURGOIN JALLIEU"
"BRESSUIRE"
"BREST EUROPE"
"BREST IROISE"
"BREST MARINE"
"BRETAGNE"
"Bretigny-sur-Orge"
"BRIANCON"
"Brie-Comte-Robert"
"BRIEY"
"BRIGNOLES"
"BRIOUDE"
"BRIVE LA MARQUISIE"
"BRON"
"BRUAY-LA-BUISSIERE"
"Cachan"
"CAEN BEAULIEU"
"CAEN FRESNEL"
"CAGNES -SUR-MER"
"CAHORS HAUTESSERRE"
"CALAIS MOLLIEN"
"CALAIS SAINT-EXUPERY"
"CALUIRE ET CUIRE"
"CAMBRAI"
"CANNES"
"CAPESTERRE LES FLAMBOYANTS"
"CARCASSONNE"
"CARHAIX"
"CARMAUX"
"CARPENTRAS"
"CARVIN"
"CASTELGINEST"
"CASTELNAUDARY"
"CASTELSARRASIN"
"CASTRES"
"CAUDRY"
"CAVAILLON"
"CAYENNE"
"CENON"
"CENTRE-ISERE"
"CENTRE-VAL DE LOIRE"
"CERET"
"Cergy"
"CHALLANS"
"CHALON CENTRE"
"CHALON NORD"
"CHALONS-EN-CHAMPAGNE"
"CHAMALIERES"
"CHAMBERY"
"CHAMPHOL"
"Champigny-sur-Marne"
"CHARLEVILLE-MEZIERES MONTJOLY"
"CHARLEVILLE-MEZIERES VAL DE VENCE"
"CHARTRES GARE"
"CHATEAU GONTIER"
"CHATEAU THIERRY"
"CHATEAUBRIANT"
"CHATEAUDUN"
"CHATEAURENARD"
"CHATEAUROUX BALSAN"
"CHATELLERAULT"
"CHAUMONT"
"CHAUNY"
"Chelles"
"Chennevières-sur-Marne"
"CHERBOURG LES TOURELLES"
"CHERBOURG PROVINCES"
"Chessy Val d'Europe"
"CHINON"
"Choisy-le-Roi"
"CHOLET"
"CLERMONT FITZ JAMES"
"CLERMONT FLAUBERT"
"CLERMONT JOUHAUX"
"CLERMONT L'HERAULT"
"CLERMONT PRE LA REINE"
"Clichy-la-Garenne"
"Clichy-sous-Bois"
"CLISSON"
"CLUSES"
"COGNAC"
"COLMAR EUROPE"
"COLMAR LACARRE"
"Colombes"
"COLOMIERS"
"COMBOURG"
"COMMERCY"
"COMPIEGNE DE LESSEPS"
"COMPIEGNE MARGNY"
"CONCARNEAU"
"CONDE-SUR-L'ESCAUT"
"CONDOM"
"Conflans-Sainte-Honorine"
"CONFOLENS"
"Corbeil-Essonnes"
"CORSE"
"COSNE COURS SUR LOIRE"
"COTES D'ARMOR"
"Coulommiers"
"Courbevoie"
"COURNON"
"COUTANCES"
"CREIL BORDS DE L'OISE"
"CREIL MONTATAIRE"
"CREPY EN VALOIS"
"CREST"
"Créteil"
"CREUTZWALD"
"CROIX"
"Dammarie-les-Lys"
"DAX"
"DECAZEVILLE"
"DECIZE"
"DENAIN"
"DIEPPE"
"DIGNE"
"DIGOIN"
"DIJON EST"
"DIJON NORD"
"DIJON OUEST"
"DIJON SUD"
"DINAN"
"DIR DEPARTEMENTALE CALVADOS"
"DIR DEPARTEMENTALE EURE"
"DIR DEPARTEMENTALE MANCHE"
"DIR DEPARTEMENTALE ORNE"
"DIR DEPARTEMENTALE SEINE MARITIME"
"Dir Dpt  Pyrénées Orientales"
"Dir Dpt Ariège"
"Dir Dpt Aude"
"Dir Dpt Aveyron"
"Dir Dpt Gard"
"Dir Dpt Gers"
"Dir Dpt Haute Garonne"
"Dir Dpt Hautes Pyrénées"
"Dir Dpt Hérault"
"Dir Dpt Lot"
"Dir Dpt Lozère"
"Dir Dpt Tarn"
"Dir Dpt Tarn et Garonne"
"DOLE"
"Domont"
"DOUAI"
"DOUARNENEZ"
"DOULLENS"
"Dourdan"
"DRAGUIGNAN"
"Drancy"
"DREUX"
"DT 04"
"DT 05"
"DT 06"
"DT 13"
"DT 16 CHARENTE"
"DT 17 CHARENTE-MARITIME"
"DT 19 CORREZE"
"DT 21"
"DT 23 CREUSE"
"DT 24 DORDOGNE"
"DT 25"
"DT 33 GIRONDE"
"DT 39"
"DT 40 LANDES"
"DT 47 LOT-ET-GARONNE"
"DT 58"
"DT 64 PYRENEES-ATLANTIQUES"
"DT 70"
"DT 71"
"DT 75 Paris"
"DT 77 Seine-et-Marne"
"DT 78 Yvelines"
"DT 79 DEUX-SEVRES"
"DT 83"
"DT 84"
"DT 86 VIENNE"
"DT 87 HAUTE-VIENNE"
"DT 89"
"DT 90"
"DT 91 Essonne"
"DT 92 Hauts-de-Seine"
"DT 93 Seine-Saint-Denis"
"DT 94 Val-de-Marne"
"DT 95 Val-d'Oise"
"DT AISNE"
"DT ARDENNES"
"DT AUBE"
"DT BAS RHIN"
"DT CHER"
"DT CORSE DU SUD"
"DT EURE ET LOIR"
"DT GUADELOUPE ET ILES DU NORD"
"DT GUYANE"
"DT HAUT RHIN"
"DT HAUTE CORSE"
"DT HAUTE-MARNE"
"DT INDRE"
"DT INDRE ET LOIRE"
"DT LOIR ET CHER"
"DT LOIRE ATLANTIQUE"
"DT LOIRET"
"DT MAINE ET LOIRE"
"DT MARNE"
"DT MARTINIQUE"
"DT MAYENNE"
"DT MEURTHE ET MOSELLE"
"DT MEUSE"
"DT MOSELLE"
"DT NORD"
"DT NORD EST"
"DT OISE"
"DT PAS DE CALAIS"
"DT SARTHE"
"DT SOMME"
"DT SUD OUEST"
"DT VENDEE"
"DT VOSGES"
"DU MOULIN"
"DUNKERQUE"
"ECHIROLLES"
"ELBEUF"
"EPERNAY"
"EPINAL DUTAC"
"EPINAL VOIVRE"
"Epinay-sur-Seine"
"Ermont"
"Etampes"
"EVREUX BROSSOLETTE"
"EVREUX DELAUNE"
"Evry"
"EYSINES"
"FALAISE"
"FECAMP"
"FIGEAC"
"FINISTERE"
"FIRMINY"
"FLERS"
"FOIX"
"FONTAINE"
"FONTENAY LE COMTE"
"Fontenay-sous-Bois"
"FORBACH"
"FORGES LES EAUX"
"FORT DE FRANCE KERLYS"
"FOUGERES"
"FREJUS"
"FRIVILLE ESCARBOTIN"
"FUTUROSCOPE"
"GAILLAC"
"GAP"
"GARDANNE"
"Garges-lès-Gonesse"
"Gennevilliers"
"GERARDMER"
"GIEN"
"GISORS"
"GIVORS"
"GOLFE ST TROPEZ"
"Gonesse"
"GRAND EST"
"GRANDE-SYNTHE"
"GRANVILLE"
"GRASSE"
"GRAULHET"
"GRAVELINES"
"GRENOBLE BRUYERE"
"GRENOBLE EUROPOLE"
"GUADELOUPE"
"GUEBWILLER"
"GUERET"
"GUINGAMP"
"Guyancourt"
"GUYANE"
"HAGONDANGE"
"HAGUENAU"
"HALLUIN"
"HAM"
"HARFLEUR"
"HAUBOURDIN"
"HAUTS-DE-FRANCE"
"HAYANGE"
"HAZEBROUCK"
"HEM"
"HENIN-BEAUMONT"
"Herblay"
"HERLIN-LE-SEC"
"HEROUVILLE"
"HIRSON"
"HONFLEUR"
"HYERES"
"ILE ROUSSE"
"ILE-DE-FRANCE"
"ILLE ET VILAINE"
"ISSOIRE"
"ISSOUDUN"
"Issy-les-Moulineaux"
"Ivry-sur-Seine"
"JARRY"
"JOIGNY"
"JONZAC"
"JOUE LES TOURS"
"Juvisy-sur-Orge"
"KOUROU"
"L'AIGLE"
"L'EPERON"
"L'Hay-les-Roses"
"L'ISLE JOURDAIN"
"LA BAULE"
"LA CIOTAT"
"LA COTE SAINT ANDRE"
"La Courneuve"
"LA FERTE BERNARD"
"La Ferté-Sous-Jouarre"
"LA FLECHE"
"LA GARDE"
"LA MADELEINE"
"LA POSSESSION"
"LA RIVIERE"
"LA ROCHE NORD"
"LA ROCHE SUD"
"LA ROCHELLE  LAGORD"
"LA ROCHELLE-BEL AIR"
"LA ROCHELLE-VILLENEUVE"
"LA SEYNE SUR MER"
"LA TESTE"
"LA TOUR DU PIN"
"LA TRINITE"
"LABEGE"
"Lagny-sur-marne"
"LAMBALLE"
"LAMENTIN"
"LANDERNEAU"
"LANESTER"
"LANGON"
"LANGRES"
"LANNEMEZAN"
"LANNION"
"LAON"
"LAVAL FERRIE"
"LAVAL SAINT NICOLAS"
"LAVELANET"
"Le Blanc-Mesnil"
"LE CANNET"
"LE CANNET VAR"
"LE CATEAU-CAMBRESIS"
"LE CREUSOT"
"LE FRANCOIS"
"LE HAVRE FERRER"
"LE HAVRE SOUDAY"
"LE HAVRE VILLE HAUTE"
"LE MANS GARE"
"LE MANS OUEST"
"LE MANS SABLONS"
"LE MARIN MONTGERALD"
"LE PORT"
"LE PUY EN VELAY"
"LE QUESNOY"
"LE TAMPON"
"LE TREPORT"
"LE VIGAN"
"LENS GARE"
"LENS LALOUX"
"LES HERBIERS"
"Les Mureaux"
"LES SABLES"
"Les Ulis"
"LESPARRE-MEDOC"
"Levallois-Perret"
"LEZIGNAN CORBIERES"
"LIBOURNE"
"LIEVIN"
"LILLE GRAND SUD"
"LILLE PORT FLUVIAL"
"LILLE REPUBLIQUE"
"LILLE VAUCANSON"
"LILLEBONNE"
"LILLERS"
"LIMOGES JOURDAN"
"LIMOGES LECLERC"
"LIMOGES VENTADOUR"
"LIMOUX"
"LINGOLSHEIM"
"LISIEUX"
"Livry-Gargan"
"LOCHES"
"Lognes"
"LOMME"
"Longjumeau"
"LONGUENESSE"
"LONGWY"
"LONS"
"LONS LE SAUNIER"
"LORIENT MARINE"
"LORIENT VILLE"
"LORMONT"
"LOUDEAC"
"LOUDUN"
"LOUHANS"
"LOURDES"
"LOUVIERS"
"LUCE"
"LUCON"
"LUNEL"
"LUNEVILLE"
"LURE"
"LUXEUIL"
"LYON ALBERT THOMAS"
"LYON CONFLUENCE"
"LYON CROIX-ROUSSE"
"LYON JEAN JAURES"
"LYON PART-DIEU"
"LYON VAISE"
"MACHECOUL"
"MACON"
"Maisons-Alfort"
"MAMERS"
"MANOSQUE"
"Mantes-la-Jolie"
"MARCONNELLE"
"MARIE GALANTE"
"MARIGNANE"
"MARMANDE"
"MARSEILLE BELLE DE MAI"
"MARSEILLE BLANCARDE"
"MARSEILLE CAP PINEDE"
"MARSEILLE CARRE GABRIEL"
"MARSEILLE CHATEAU-GOMBERT"
"MARSEILLE LA VALENTINE"
"MARSEILLE MOUREPIANE"
"MARSEILLE PARADIS"
"MARSEILLE PHARO"
"MARSEILLE PONT DE VIVAUX"
"MARSEILLE PORTE D'AIX"
"MARTIGUES"
"MARTINIQUE"
"MATOURY"
"MAUBEUGE GARE"
"MAUBEUGE PASTEUR"
"MAYENNE"
"Meaux"
"MELLE"
"MENDE"
"MENTON"
"MERIGNAC"
"MERU"
"METZ BLIDA"
"METZ GARE"
"METZ SEBASTOPOL"
"MEYTHET"
"MEYZIEU"
"MILLAU"
"Mitry-Mory"
"MOLSHEIM"
"MONDEVILLE"
"MONISTROL"
"MONT DE MARSAN"
"MONTAIGU"
"MONTARGIS"
"MONTAUBAN ALBASUD"
"MONTAUBAN NORD"
"MONTBARD-CHATILLON"
"MONTBELIARD CENTRE"
"MONTBELIARD HEXAGONE"
"MONTBRISON"
"MONTCEAU LES MINES"
"MONTDIDIER"
"MONTELIMAR"
"Montereau-Fault-Yonne"
"MONTIGNY LES METZ"
"MONTLUCON"
"MONTLUEL"
"MONTMELIAN"
"Montmorency"
"MONTMORILLON"
"MONTPELLIER CASTELNAU"
"MONTPELLIER CEVENNES"
"MONTPELLIER MAS DE GRILLE"
"MONTPELLIER MEDITERRANEE"
"Montreuil sous Bois"
"Montrouge"
"MONTVAL SUR LOIR"
"MORBIHAN"
"MORLAIX"
"MORNE A L'EAU"
"MORTEAU"
"MOULINS"
"MOURENX"
"MOUTIERS"
"MULHOUSE DOLLER"
"MULHOUSE DROUOT"
"MULHOUSE VERRIERS"
"MULHOUSE-PORTE DE BALE"
"MURET"
"NANCY CRISTALLERIE"
"NANCY GENTILLY"
"NANCY JOFFRE"
"NANCY MAJORELLE"
"Nanterre"
"NANTES CENTRE"
"NANTES CHANTENAY"
"NANTES HALUCHERE"
"NANTES MALAKOFF"
"NANTES NORD"
"NANTES SAINTE-LUCE"
"NARBONNE"
"Nemours"
"NEUFCHATEAU"
"Neuilly-sur-Marne"
"NEUVILLE SUR SAONE"
"NEVERS"
"NICE CENTRE"
"NICE EST"
"NICE LA TRINITE"
"NICE NORD"
"NICE OUEST"
"NIMES 7 COLLINES"
"NIMES COURBESSAC"
"NIMES SAINT CESAIRE"
"NIORT GARENNE"
"NIORT-TREVINS"
"NOEUX-LES-MINES"
"NOGENT LE ROTROU"
"Nogent-sur-Marne"
"Noisy-le-Grand"
"Noisy-le-Sec"
"NONTRON"
"NORMANDIE"
"NOUVELLE-AQUITAINE"
"NOYON"
"OCCITANIE"
"OLORON STE MARIE"
"ORANGE"
"ORLEANS EST"
"ORLEANS NORD"
"ORLEANS OUEST"
"ORLEANS SUD"
"OUEST PROVENCE I"
"OULLINS"
"OYONNAX"
"Palaiseau"
"PAMIERS"
"Pantin"
"PARENTIS"
"Paris 1 2 3 4ème Paul Lelong"
"Paris 10ème Vicq d'Azir"
"Paris 11ème Beaumarchais"
"Paris 12ème Diderot"
"Paris 15ème Brancion"
"Paris 16 et 17ème Cardinet"
"Paris 18ème Genevoix"
"Paris 18ème Ney"
"Paris 19ème Armand Carrel"
"Paris 19ème Laumière"
"Paris 20ème Piat"
"Paris 20ème Vitruve"
"Paris 5 et 13ème Daviel"
"Paris 6 et 14ème Jean Moulin"
"Paris 7 8 9ème St Petersbourg"
"PARTHENAY"
"PAU Jean Zay"
"PAU LYAUTEY"
"PAYS DE LA LOIRE"
"PERIGUEUX"
"PERONNE-ALBERT"
"PERPIGNAN POLYGONE"
"PERPIGNAN SAINT ASSISCLE"
"PERPIGNAN SANT VICENS"
"Persan"
"PERTUIS"
"PESSAC"
"PETIT-BOURG - GOYAVE"
"PEZENAS"
"PIERRELATTE"
"PITHIVIERS"
"PLAINE ORIENTALE"
"Plaisir"
"PLOERMEL"
"POINTE A PITRE BERGEVIN"
"Poissy"
"POITIERS-GARE"
"POITIERS-GRAND LARGE"
"PONT A MOUSSON"
"PONT DE CLAIX"
"PONT-AUDEMER"
"PONT-L'ABBE"
"PONTARLIER"
"Pontault-Combault"
"PONTCHARRA"
"PONTIVY"
"PORNIC"
"PORT LOUIS"
"PORTET SUR GARONNE"
"PORTO VECCHIO"
"PRADES"
"PRIVAS"
"Provence-Alpes-Cote d'Azur"
"Provins"
"Puteaux"
"QUIMPER NORD"
"QUIMPER SUD"
"QUIMPERLE"
"Rambouillet"
"RAVINE DES CABRIS"
"REDON"
"REIMS BEZANNES"
"REIMS JEANNE D'ARC"
"REIMS LA NEUVILLETTE"
"REIMS MONT D'ARENE"
"REMIREMONT"
"RENNES CENTRE"
"RENNES EST"
"RENNES NORD"
"RENNES OUEST"
"RENNES SUD"
"RETHEL"
"REUNION"
"REVIN"
"REZE"
"RILLIEUX LA PAPE"
"RIOM"
"RIVE DE GIER"
"RIVIERE SALEE"
"ROANNE"
"ROCHEFORT"
"RODEZ"
"ROMANS SUR ISERE"
"ROMILLY-SUR-SEINE"
"ROMORANTIN-LANTHENAY"
"Rosny-sous-Bois"
"ROUBAIX CENTRE"
"ROUBAIX LES PRES"
"ROUEN AUBETTE"
"ROUEN BEAUVOISINE"
"ROUEN LUCILINE"
"ROUEN MAROMME"
"ROUEN QUEVILLY"
"ROUEN SAINT SEVER"
"ROUEN ST ETIENNE DU ROUVRAY"
"ROUSSILLON"
"ROYAN"
"Rueil-Malmaison"
"SABLE SUR SARTHE"
"SAINT AMAND MONTROND"
"SAINT ANDRE"
"SAINT BENOIT"
"SAINT CHAMOND"
"SAINT CLAUDE"
"SAINT CYR SUR LOIRE"
"SAINT DENIS REUNION"
"SAINT DIE DES VOSGES"
"SAINT FLOUR"
"SAINT FONS"
"SAINT FRANCOIS"
"SAINT GAUDENS"
"SAINT GIRONS"
"SAINT JEAN D ANGELY"
"SAINT JEAN DE LUZ"
"SAINT JEAN DE MAURIENNE"
"SAINT JOSEPH"
"SAINT LEU REUNION"
"SAINT LO"
"SAINT LOUIS"
"SAINT MARTIN"
"SAINT MARTIN D'HERES"
"SAINT MAXIMIN"
"SAINT PAUL LES DAX"
"SAINT PAUL REUNION"
"SAINT PIERRE"
"SAINT PIERRE DES CORPS"
"SAINT PIERRE REUNION"
"SAINT PRIEST"
"SAINT QUENTIN"
"SAINT RAPHAEL"
"SAINT SEBASTIEN"
"SAINT VINCENT DE TYROSSE"
"SAINT-AMAND-LES-EAUX"
"SAINT-ASTIER"
"SAINT-AVOLD"
"SAINT-BRIEUC OUEST"
"SAINT-BRIEUC SUD"
"Saint-Denis"
"SAINT-DIZIER"
"Saint-Germain-en-Laye"
"Saint-Gratien"
"SAINT-JEAN"
"SAINT-MALO"
"SAINT-MARTIN-BOULOGNE"
"Saint-Maur-des-Fosses"
"SAINT-MEDARD-EN-JALLES"
"Saint-Ouen"
"Saint-Ouen-l'Aumône"
"SAINTE CLOTILDE"
"SAINTE MARIE REUNION"
"SAINTE ROSE"
"Sainte-Geneviève-des-Bois"
"SAINTE-MARIE"
"SAINTES SAINT GEORGES"
"SALLANCHES"
"SALON DE PROVENCE"
"Sarcelles"
"SARLAT"
"SARREBOURG"
"SARREGUEMINES"
"Sartrouville"
"SAUMUR"
"SAVERNE"
"Savigny-le-Temple"
"Savigny-sur-Orge"
"SCENES ET IMAGES"
"SCHILTIGHEIM"
"SCHOELCHER MADIANA"
"SECLIN"
"SEDAN"
"SEGRE"
"SELESTAT"
"SENS"
"SETE"
"Sevran"
"SEYNOD"
"SEZANNE"
"SIN LE NOBLE"
"SIX FOURS"
"SOISSONS"
"SOMAIN"
"SOUILLAC"
"ST ETIENNE BELLEVUE"
"ST ETIENNE CHATEAUCREUX"
"ST ETIENNE CLAPIER"
"ST ETIENNE TECHNOPOLE"
"ST GILLES CROIX DE VIE"
"ST HERBLAIN"
"ST JUNIEN"
"ST LAURENT DU MARONI"
"ST LOUIS BEL AIR"
"ST NAZAIRE"
"ST YRIEIX"
"ST-PIERRE D'OLERON"
"Stains"
"STRASBOURG DANUBE"
"STRASBOURG HAUTEPIERRE"
"STRASBOURG MEINAU"
"STRASBOURG PONT MATTHIS"
"STRASBOURG SEYBOTH"
"Sucy-en-Brie"
"TARARE"
"TARBES ARSENAL"
"TARBES PYRENEES"
"TASSIN LA DEMI LUNE"
"Taverny"
"TERRASSON"
"THANN"
"THIERS"
"THIONVILLE BRGD"
"THIONVILLE MANOM"
"THOIRY"
"THONON LES BAINS"
"THOUARS"
"TIGNIEU JAMEYZIEU"
"TOUL"
"TOULON FOCH"
"TOULON LA RODE"
"TOULOUSE BELLEFONTAINE"
"TOULOUSE BORDEROUGE"
"TOULOUSE CARTOUCHERIE"
"TOULOUSE HIPPODROME"
"TOULOUSE JOLIMONT"
"TOULOUSE LA PLAINE"
"TOULOUSE ST-MICHEL"
"TOURCOING"
"TOURNON SUR RHONE"
"TOURS DEUX LIONS"
"TOURS RONSARD"
"Trappes"
"Tremblay-en-France"
"TREVOUX"
"TRIGNAC"
"TROYES CENTRE GARE"
"TROYES LA CHAPELLE ST LUC"
"TULLE"
"VALENCE BRIFFAUT"
"VALENCE VICTOR HUGO"
"VALENCIENNES"
"VANDOEUVRE LES NANCY"
"VANNES EST"
"VANNES OUEST"
"VAULX EN VELIN"
"VAUVERT"
"VENDOME"
"VENISSIEUX"
"VERDUN"
"VERNEUIL SUR AVRE"
"VERNON"
"VERNOUILLET"
"Versailles"
"VERVINS"
"VESOUL"
"VICHY"
"VIENNE"
"VIERZON"
"VILLEFONTAINE"
"VILLEFRANCHE DE LAURAGAIS"
"VILLEFRANCHE DE ROUERGUE"
"VILLEFRANCHE SUR SAONE"
"Villejuif"
"VILLENAVE D ORNON"
"VILLENEUVE D'ASCQ"
"VILLENEUVE LES AVIGNON"
"VILLENEUVE SUR LOT"
"Villeneuve-Saint-Georges"
"VILLEURBANNE"
"Vincennes"
"VIRE"
"Viry-Châtillon"
"VITRE"
"VITROLLES"
"VITRY-LE-FRANCOIS"
"Vitry-sur-Seine"
"WATTRELOS"
"WISSEMBOURG"
"Yerres"
"YVETOT"
